编号;名称;种类;技能名称;攻击力;生命值;技能;势力;画师;CV;技能发动;语音阵亡;语音攻击1;语音攻击2;语音杂谈1;语音杂谈2;基本信息;背景描述;故事1;故事2;故事3;故事4;故事5;调试中
20096;希格德莉法;;;;;;阿斯嘉德;saberiii;野中 藍;我和“那家伙”不一样！！;我是…希格德莉法……;不要提“那家伙”！;我就是我！;我的名字是“希格德莉法”。;叫我布伦希尔德的都去死。;角色名字：希格德莉法（Sigrdrifa）_所属势力：阿斯嘉德_称号：胜利桂冠_兴趣：酿酒_喜欢的事物：瓦尔基里姐妹们，提尔，奥丁_讨厌的事物：被误认，将瓦尔基里全都视作一样的人;瓦尔基里之一，胜利的赐予者，出现在战场中鼓舞战士士气。_个性积极，容易犯迷糊，往往会在错误的方向上拼命努力。_极度讨厌他人将自己与同为瓦尔基里的布伦希尔德弄混。如果对方故意混淆两者，就会被希格德莉法视为挑衅。但事实上就算是不小心弄错也会被视为挑衅行为。_为了避免触及忌讳，故意避开与布伦希尔德相关的话题，也会被她看作是不尊重瓦尔基里。总而言之就是很难避开与她决斗。_与瓦尔基里姐妹们在阿斯嘉德中经营着瓦尔基里酒场（全称为瓦尔基里的诸神黄昏待机室）负责酿酒工作，兼职店长。_非常憧憬战神提尔那样冷静成熟的女性，将提尔的独身情况错误的理解成为了锻炼强大的精神而拒绝男性。因此替提尔拒绝所有关于联谊的邀约。_经常与赫拉斯瓦尔和海拉因亡者归属权的问题发生争执。渴望能在诸神黄昏的战斗中扬名立万，积极的和自己下属的英灵殿勇士们打好关系。而勇士们在战场上喊出的名字说明了一切——大家都以为她是布伦希尔德。;［瓦尔基里］_从古早的时代开始就追随奥丁团体，全部由女性组成。虽然不一定存在亲缘关系，但共赴战场的漫长岁月让瓦尔基里之间建立起了比血亲更稳固的羁绊。随着时代变迁，瓦尔基里团体也由最初的13名瓦尔基里，演变产生了13名正选成员，加研习生、选拔组的体制，只不过至今没有能够取代正选成员的研习生出现。即使其中一度有人因为结婚而毕业，但最后还是被召回继续担任瓦尔基里。;［与布伦希尔德的孽缘］_作为最古早成员的希格德莉法，经常被莫名其妙的误认成同为瓦尔基里的布伦希尔德。甚至有人声称希格德莉法是布伦希尔德结婚毕业期间顶替她位置的研习生。自暴自弃的希格德莉法曾喝的烂醉，行使宣判胜利的职责，希望能被记录成布伦希尔德。结果在报上姓名之前就胡乱宣判，随后昏睡过去，直到被奥丁派去寻找的王子叫醒。本以为会留下传说，结果因为姓名不明被改编成了童话。而之后呈现出的过程和结局都被流传成布伦希尔德传说，这让希格德莉法非常火大。;［直至黄昏到来的酒场］_瓦尔基里们共同经营的酒场，是英灵殿市场经济化的额外产物。酒场的创立是为了补上英灵殿每年数额巨大的招待费用，也为了让进入英灵殿的勇士可以更加自由的选择自己的菜单。希格德莉法负责酿造、管理和经营的酒场，从大白天开始就到处都是喝的烂醉的壮汉，曾是阿斯嘉德治安最糟糕的区域。直到有勇士出于好奇，故意将希格德莉法叫成布伦希尔德，瓦尔基里酒场的治安才有了改善。;;;0
20097;布拉吉;;;;;;阿斯嘉德;RitoruG;福里 達典;听好了！老子灵魂的咆哮！;ＲＯＣＫ……;咆哮吧！;燃起来吧！;喂，知道哪里有可爱的女孩子吗？;别太靠近老子，会被迷住的～;角色名字：布拉吉_所属势力：阿斯嘉德_称号：博德THE BAND成员_兴趣：玩乐（各种意义的玩乐）_喜欢的事物：演唱会，音乐，诗歌_讨厌的事物：冷场;奥丁之子，托尔、博德等的兄弟，称呼奥丁为老爹。_个性开朗外向，夸张积极，总对小事摆出大惊小怪的做派让兄弟姐妹们十分反感。和提尔难以相处，夸张态度在处变不惊的提尔面前总是无法得到任何反应，这让布拉吉很受伤。_与博德组建了乐队，在博德早期活动中负责音乐创作，在乐队中担任吉他手，对自己创作的乐曲有绝对的自信和骄傲。最终因为和音乐理念的不同，与博德散伙，但始终无法摆脱”曾经是博德乐队成员”的阴影。_和伊米尔在和平时期组过一段时间的乐队，后散伙，现在以独立音乐制作人活跃在音乐界。_内心对歌姬软件很感兴趣，但是由于无法放下一个传统音乐人的矜持从未使用过。_布拉吉的私生活混乱，让奥丁十分头疼。;［博德ＴＨＥ　ＢＡＮＤ］_在博德成为阿斯嘉德的偶像前，所有有潜力的兄弟姐妹都被尝试培育成偶像。其中大部分都失败了，只有布拉吉被发掘出了独特的音乐才能，早期与博德组成乐队一起活动。随着的人气逐日增高，博得开始偏向于创作迎合大众口味的音乐。布拉吉认为这种音乐与自己的音乐理念不合，因此选择与自己的姐妹分别，作为独立的音乐创作者活动。;［黄昏的波乱］_随着信仰的衰竭，阿斯嘉德的领袖奥丁失去了自己的”智慧”。无意中得知这件事情的布拉吉开始担心自己也会和奥丁一样失去自己的”才能”，于是离开了阿斯嘉德，前往现世，希望能避开信仰衰竭的影响。;［常青之剑事件］_即使离开阿斯嘉德，布拉吉也无法切断与故乡的联系。爆出大丑闻被迫停止乐队活动的博德对身处现世布拉吉造成了强烈的影响。布拉吉感觉到了自身的力量随着博德的衰落开始急剧流失。为了保留仅存的力量，并且无法相信博德会如此简单的陨落，布拉吉回到了阿斯嘉德，调查姐妹博德陨落的真相。;;;0
20098;尼德霍格;;;;;;尼夫尔海姆;TID;名塚 佳織;真暗的魔龙在此！;不错的娱乐……;咬碎！;毁灭！;竟敢驱使原种之龙。;让我见识一下吧，所谓神的力量。;角色名字：尼德霍格_所属势力：尼夫尔海姆_称号：真暗之龙_兴趣：咬咬_喜欢的事物：世界树根，伊米尔_讨厌的事物：辣的东西，熟的东西;啃食世界树根部的魔龙，能够维持智能和本能之间微妙平衡的龙少女。_有身为龙族的骄傲，对食物非常挑剔，只吃世界树。又因为世界树有伊米尔的味道，所以也喜欢咬伊米尔。_虽然时时告诫自己要保持高洁的姿态，不能像野兽一样去咬人形生物，但还是无法克制想去咬伊米尔。_和缠绕世界树之蛇约莫加德是好朋友兼宿敌。虽然是吃同一锅饭的好友，但自己的食物决不分给约莫加德一口。_鄙视芬里尔吞食世界上部的做法，认为世界树的根部才是最美味的地方，而霜巨人实在是塞牙_看不起法夫尼尔，觉得这种通过咒语变成龙的行为玷污了龙族的纯洁性。单纯的强大，神格较弱的神灵甚至无法伤害尼德霍格。_参加过多次诸神黄昏，每次都作为伊米尔队隐藏的最终兵器。不过每次首发阵容直接战败回老家，作为最后手段的尼德霍格实际上一次都没上场过。_对最终兵器魔龙这称呼非常满意，认为只有这样的称号才配得上自己。认为所有世界都长在树上，也想去咬别的世界树的根部尝尝是什么味道。_在阿斯嘉德的网站上开设”美食世界树”的栏目，介绍世界树根的各种做法，不过人气不高，还总收到投诉，禁止她食用世界树的根。;［世界树］_在太古时期被奥丁击败的伊米尔，当时的身体还非常巨大。从那具倒地的身体中长出的巨大树木，承载起了整个神界，尼德霍格也在那时诞生，开始啃食世界树的根部。在蛮荒信仰紧缩后，伊米尔的身体急剧缩小，但味道并没有改变。习惯了世界树根味道的尼德霍格，对啃食伊米尔也很有兴趣。;［诸神黄昏的最终兵器］_霜巨人们数次尝试发动诸神黄昏，每一次都邀请了尼德霍格，作为最终决战兵器放在最后。但每一次都没有轮到尼德霍格上场，先锋就被打败，输掉了整次诸神黄昏。久而久之，尼德霍格也获得了“传说中诸神黄昏的最终兵器魔龙”这样的称号。;［龙的智能］_作为最古老的纯血龙族之一，尼德霍格对自身的行为有着很严格的要求，例如不可以像野兽一样遵循本能去咬人等等。对于希望毁灭这个世界的人是否够格受到自己的眷顾有一套非常严格的审核标准。就算有人偶然得到了魔龙的恩赐，让她服从指挥，她也不会用尽全力。;;;0
20099;阿尔贝莉琪;;;;;;尼夫尔海姆;saru;小野 早希;宝贝！我的宝贝！;为我报仇……;诅咒你！;滚开！！;得到那指环的家伙都将毁灭！;我的指环，我的宝贝……;角色名字：阿尔贝莉琪（Alberich）_所属势力：尼夫尔海姆_称号：尼伯龙根的咒缚者_兴趣：灵魂长久被困在尼伯龙根的指环内，解放出来后对任何事情都觉得新鲜_喜欢的事物：龙，黄金_讨厌的事物：盗贼，高大的人;尼伯龙根的指环最初的持有者。_因为奥丁质疑指环所属的正当性被其杀死。灵魂与指环捆绑在了一起，永远地诅咒着下一个指环持有者。长久被困在指环中导致性格变得阴暗，对一切美好的事物都充满憎恨。_内心矛盾，诅咒着每一个指环持有者的同时也想反抗指环的咒缚，希望下一个持有者能解除诅咒。有着温柔的一面。怂恿最初得到指环的法夫尼尔变化成龙的形态并去健身，本意是为了守护指环，却无意间使法夫尼尔变得强壮，被法夫尼尔尊称为师父。_以同样的方法劝诱了之后得到指环的齐格飞，对齐格飞自称师父，却被齐格飞当做寄宿在指环中的怨灵而完全的无视了。恼羞成怒的阿尔贝莉琪以非常扭曲的方式咒杀了齐格飞。_原本指环的佩戴者只需要达成一系列既定的条件，咒缚就会自动解除，阿尔贝莉琪也可以从指环中被解放出来，亲自去完成自己的复仇，不过由于赫里奥波里斯的参战，以及太阳神拉宣布为所有遭受不公对待神灵复仇，戒指的咒缚被提前解除了，阿尔贝莉琪得以重见天日。_无处可去的阿尔贝莉琪加入了法夫尼尔所在的尼夫尔海姆，为寻找向奥丁复仇的机会积极准备着。;［尼伯龙根的指环］_阿尔贝莉琪曾因意外获得了一大笔不属于自己的黄金，并用黄金铸造了一枚指环。传说在这个过程中她听信了某位”洛基”的谗言，为财宝施加了强力的咒缚。一旦她死亡，财宝的咒缚便会发动，让夺取黄金的盗贼品尝她为了得到黄金所付出的痛苦代价，并最终死于非命。之后阿斯嘉德的主神奥丁，质疑阿尔贝莉琪获得黄金的正当性，要求她归还原本应该属于阿斯嘉德的黄金。_愤怒的阿尔贝莉琪向奥丁发起挑战，被奥丁轻而易举的杀死。施加在黄金上的咒缚就在此时发动，将阿尔贝莉琪的灵魂永远的禁锢在了用黄金打造的指环中。_这时阿尔贝莉琪才发现自己被”洛基”所欺骗。正是那位”洛基”告知了奥丁黄金的所在之处，目的就是为了杀死阿尔贝莉琪，让咒缚能够发动。而所谓的咒缚，就是利用阿尔贝莉琪对阿斯嘉德的巨大仇恨驱动着指环四处散播诅咒。阿尔贝莉琪只是那位”洛基”为了召唤诸神黄昏所准备的一枚棋子而已。;［咒缚的黄金］_被欺骗的屈辱，被夺走黄金的憎恨，让阿尔贝莉琪一度决定放弃作为洛基的棋子而工作。但对指环施加咒缚的是洛基，指环依然以阿尔贝莉琪的灵魂为能源忠实地履行着自己的使命。_洛基的咒缚虽然无法让奥丁死于非命，但却足以让奥丁的信仰开始缓慢的流失。随后指环被作为工作报酬转交到了巨人法夫尼尔手中。为了中断指环的咒缚，阿尔贝莉琪怂恿法夫尼尔进行健身，并变化成一条巨龙，彻底的保护指环。_然而，法夫尼尔却被洛基驱使的奥丁之子齐格飞打败，指环也被抢走。阿尔贝莉琪终于明白，咒缚最关键的部分全都是由洛基亲自施术的，自己永远无法逃脱洛基的掌控，只能作为一个工具一直运作下去。;［复仇之眼］_每次诸神黄昏之后，世界永远只能回到初始的原点。作为洛基的道具重复诅咒着相同的人，在阿尔贝莉琪的精神已经接近崩溃边缘的时候，来自南方名叫赫里奥波里斯的势力突然发表了为所有遭受不公对待的神灵复仇的宣言。宣言的神力打破了洛基的咒缚，阿尔贝莉琪从尼伯龙根的指环中得到了被解放出来。而获得解放之后，阿尔贝莉琪要做的第一件事，就是向夺走自己黄金、让自己陷入咒缚中的奥丁复仇。;;;0
20103;索列姆;;;;;;尼夫尔海姆;凌猫幸运z;山崎 沙織;别那么严肃嘛！;真倒霉……;敌人的气息！;轻松点吧～;我最喜欢柔弱的女孩子了～;不要肌肉女！;角色名字：索列姆_所属势力：尼夫尔海姆_称号：狂魔_兴趣：宴会_喜欢的事物：酒，女人，财宝_讨厌的事物：顽固的人;众多巨人领袖中的一员_没人知道她的真名，只知道她自称“索列姆”，意为喧嚣。_索列姆和她的族群疯狂好斗的性格即使在霜巨人中也属于异类。_索列姆本人更是贪婪的化身，但是不知为何，索列姆可以使用托尔的武器姆乔尔尼尔。_无关性别的对芙蕾雅有强烈的执念。_因为来路不明，所以常被派去执行自杀任务。_对托尔抱有仇恨，为了复仇加入尼夫尔海姆。;［喧嚣］_在伊米尔招募对抗阿斯嘉德的志愿者时，自称索列姆的巨人率领自己的族群加入了队伍。很快其他霜巨人就发现索列姆的族群对发动诸神黄昏毫无兴致，只是每天开着吵闹的宴会，最终不满的巨人们趁夜袭击了索列姆的本部，却轻而易举的被索列姆打败。在这场战斗中，所有袭击者都见到了索列姆的武器——姆乔尔尼尔。;［怨恨的单循环］_索列姆加入尼夫尔海姆的理由只有一个，就是在战场上向托尔报一箭之仇。曾偷走姆乔尔尼尔要求阿斯嘉德众神将芙蕾雅交出来的索列姆，脑海中只有之后被托尔欺骗并打败的耻辱，丝毫没有发觉自己已被姆乔尔尼尔认可，并获得了强大力量的事实。;;;;0
20104;奥尔布达;;;;;;尼夫尔海姆;八云玖;堀籠 沙耶;坏孩子要惩罚一下！;呜呼呼……;嘿哟！;不乖！;我已经有丈夫了……;不可以这样……;角色名字：奥尔布达_所属势力：尼夫尔海姆_称号：魔兽之母_兴趣：家务_喜欢的事物：家族，”洛基”_讨厌的事物：阿斯嘉德;某位“洛基”的妻子，芬里尔之母。_迷糊，温和，母性光辉强大，会全力保护家人。_知晓至少两代“洛基”身份与去向者，而加入尼夫尔海姆是为了保护自己的孩子芬里尔。_和古尔薇格同为女巫关系良好，也常被混同成一人。_对背弃“洛基”，奴役芬里尔的阿斯嘉德非常厌恶。_在尼夫尔海姆中担任“大家的母亲”这一角色，会一视同仁照顾所有的巨人族。_和现任的”洛基”有一种奇怪的联系。;［洛基］_奥尔布达作为某一位“洛基”的妻子，深刻的知道“洛基”这个名号在每一次诸神黄昏中代表的意义和作用，也知道只要担任过“洛基”就必须永远为诸神黄昏服务下去。正因为如此奥尔布达从不会向任何人讲述，曾经是“洛基”的神灵以什么样的身份去了哪里。;［魔兽之母］_尽管在血缘上，只是芬里尔是自己的孩子，但奥尔布达还是将海拉与约莫加德视作自己的亲生骨肉。只要“洛基”之名还在继续，那么所有在此名下产生的魔兽都是自己的孩子。奥尔布达早已下定了决心，要与所有“洛基之子”一起，等待着“洛基”完成他们的使命最终归来。;;;;0
20105;通玄真人;;;;;;太清殿;梨月;筏井 かなえ;我不会手下留情的！;我还存在迷惘吗……;肃静！;压制！;我不能露出软弱的一面。;四大真人有五人是常识。;角色名字：通玄真人／文子_所属势力：太清殿_称号：万物玄同_兴趣：饮酒，训练，训诫他人_喜欢的事物：可爱的动物，毛茸茸的生物_讨厌的事物：爬行类，昆虫类;道德天尊的首席弟子。_只是普通的认真对人处事，却常被误解成不苟言笑，呲牙必究之人，如此不断影响下，她逐渐在向大家心目中的样子靠拢。_潜意识中还保存着认为不可以过度苛责别人的温柔一面，但是因为要维持威严无法表现出温柔的样子，最终变成了只在独处时对自己放低要求。_主张求道者无是无非，一切均是相对的，所以认为自己的自我放纵也只是相对的，是可以被容忍的。_对冲虚真人有着约束他人的权力与实力，却不去行使自己的职责这点无法认同。_对道德天尊的其他弟子们要求非常严格，私下被叫做鬼。无关是非对错，只是单纯的对其他弟子要求严格。在任何人面前都绝不松懈，强烈的威压感使许多希望跟她拉近距离的人望而却步。_在社交网络上也保持着严肃刻板的印象。;［玄同的矛盾］_在道德天尊与元始天尊因”道”的方向性产生分歧时，通玄真人开始质疑自己追寻的道是否与师尊道德天尊契合。而当旧友庄周公开声称与师尊追寻的”道”不同时，这份心中的疑惑被急剧扩大了。通玄真人开始怀疑思想各不相同的人是否能在道的名义下统合化一。疑而生惧，通玄真人开始害怕自己的师父与师兄弟，害怕自己与他们接触的越多，越无法坚持自己的道。于是她用难以接近的态度，隐藏起了真实的自己。不去思考便不会怀疑，只要忠实地执行命令即可。;［铁壁之女］_通玄真人认为被看到自己怀疑道的样子，会给其他弟子带来不好的影响，于是她保持着严苛的态度为人处事，不知何时开始被其他弟子们当作不苟言笑的鬼教官畏惧着。自身形象一定程度上代表了自己所遵从的“道”，所以自己不可以在弟子面前露出脆弱，如此认为通玄真人只能用更强大的威压感将身心全部化为无懈可击的铁壁。;［真人］_仅有其他三大真人知道通玄真人的本性，通玄真人也只在与其他三大真人相处时放下伪装，尽情宣泄自己的情绪。无论是道的争执，还是生活的矛盾，在他们三位面前都没有隐藏的必要。就算终有一日他们如道德天尊与元始天尊一样站上对立的战场上，也可以毫无保留的摧毁对方，这就是四大真人的友谊。;;;0
20106;冲虚真人;;;;;;太清殿;spirtie;吉岡 香織;实在是非常有趣。;是退场的时候了……;轰炸！;攻击目标！;犹豫是胜利的大敌。;之后一起去哪里玩吧。;角色名字：冲虚真人／列子_所属势力：太清殿_称号：不生不化者_兴趣：研究，饮酒_喜欢的事物：酒，蔬菜，鱼_讨厌的事物：肉，高蛋白的食物;道德天尊的弟子_生性怕麻烦，对别人的事情不闻不问，对自己的行事有很高的标准。因师尊道德天尊的要求被迫加入战斗，但是自己对战斗不是那么执着。_主要从事生物方面的研究，与庄周是好友，对庄周一视同仁帮助所有神灵的举动视而不见。_知道太乙真人的真面目，但选择无视。与同门的通玄真人相性不合，认为通玄真人宽以律己严以待人的做法不可取。对庄周召唤出的意识之海生物［尼采］的构造很感兴趣，并寻找解剖的机会。_认为有形之物终会陨灭，只有自己的学识所见会在自己消亡之前一直留存在自己脑内。_令人意外的是个积极的户外活动者，人际交往的范围也非常宽泛。认为能接触到其他文化是在难得，仅仅关注战斗实在太浪费了，非常享受其他势力的文化产物。_在网上搜寻了各种减肥方法并且逐一尝试。;［天瑞之人］_在道德天尊与元始天尊产生意见分歧，决定消灭误导人远离“道”的神灵时，冲虚真人并不完全赞同师尊道德天尊的立场，但还是加入了太清殿，襄助师尊消除叛道之神。其后好友庄周与道德天尊在“道”的理解上存在异见，希望冲虚真人能够作为自己的理解者加入劝服师尊的行列，但冲虚真人选择拒绝了好友的请求，继续支持道德天尊。在冲虚真人看来，“道”本身不会因求道者的行为而改变，最终一切还是会达到到同一个终点，自己所要做的只有等待。;［闲散的天运］_不顾战争状态随意进出各个神界，结交四方神灵，尽情的享受四方风土人情，冲虚真人目前正沉浸并且享受这个状态中。人畜无害的闲散态度让人很难将她视作纯粹的敌人，但除了朝夕相处的数人之外，没有人将她当做真正的朋友。;［天道循环］_同为道德天尊的弟子，庄周却组集了一个叫做梦界旅者的军团参与神界的战斗，打破将原本已成定局的战斗局面。这是庄周所选择的“人之道”，但是冲虚真人认为庄周已经无法看清“天之道”中“万物皆陨落”的道理。天道轮回，是时候让庄周回想起那些她已经忘掉的事情了。;;;0
20107;洞灵真人;;;;;;太清殿;RitoruG;御手洗 かりん;这是对我的挑战！;这是个谜团……;揭穿真相吧！;穿过迷雾！;真相隐藏在黑暗之中。;你也是追求真理的同伴吗？;角色名字：洞灵真人／亢仓子_所属势力：太清殿_称号：全道之人_兴趣：解谜_喜欢的事物：谜之事件，侦探故事_讨厌的事物：意外事故，格斗技;道德天尊的弟子，狂热的解谜爱好者。_喜故弄玄虚，装腔作势，即使是普通的事情也要用解谜的口吻来说，十分招人厌烦。_拥有极高的洞察力，多数时候能发现对方想要隐藏的真相。难以克制说出来的冲动这一性格也很招人烦。当某事发生时会摆出一副“我早就知道了”的姿态，也喜欢把容易理解的事情故意说得晦涩难懂，并乐于看对方迷茫困惑的样子。_和思兼神、托特等自恃智力超群的神灵是好友，同时也是庄周的好伙伴，但庄周不太搭理他。_因太乙真人每次都在他解谜前先说出答案，故而对太乙真人抱有强烈的竞争心理。_擅长推理，却不愿意用以相助他人，自己也隐藏了大量的秘密。_不喜欢互联网因其使信息变得透明，但喜欢通过网络随机逆向推理用户的真实身份。;［秘中之秘］_将道的本质当作一个难解的谜题去探求答案，不知何时自己已经无限接近道的真谛，并被人称为真人。洞灵真人对道的兴趣仅存在于尚未解开道的谜题之中，但追寻一个近乎无解的秘密直到时间的尽头也让洞灵真人感到厌倦。没有线索，答案难寻，就在洞灵真人打算将自己一直追寻的道归结为一个烂谜题时，旧友庄周站出来称还存在与师尊道德天尊追求的道不同的道。崭新的观点吸引了洞灵真人的注意，他认定，这不同的道将是解开真正的道的谜题的线索，而最先解明道的秘密的人一定是自己。;［谜］_洞灵真人喜欢将任何条理清晰明白的事情，用难解的方式阐述，以别人困扰的样子来证明自己学识的渊博。;［解］_无论别人是否愿意，洞灵真人都喜欢拆穿对方的秘密，而且喜欢宏大充满戏剧性的场面。这种毛病甚至发展到了只是如谁多吃了对方一块糖这种无关紧要的事情他也要小题大做一番，因此大家私下里都对洞灵真人颇有意见。;;;0
20108;王诩;;;;;;太清殿;RitoruG;関 俊彦;别在意，我是个普通人。;失败也是一乐……;这里吗？;轻而易举。;我不是什么神明。;请不要刨根问底。;角色名字：王诩_所属势力：太清殿_称号：???_兴趣：计算，赌博_喜欢的事物：对称，相等_讨厌的事物：无理取闹的人;诸多神灵都不知他来自何方，也不知他因何功绩而为神灵。_其性宽厚，举止洒脱，表象上看来是个温和之人，并且在太清殿随意进入，众人纷纷猜测他身份高贵。_道德天尊与四大真人都知晓他的真实身份，虽然平时也没有刻意掩饰，但他只是自称为散仙，希望在战场上证明自己的力量。_渴求战场，尊敬任何有才能者，无论敌我，并希望与对手在对方擅长的领域上一较高下。工于谋略，是太清殿为数不多的战术指挥。不与人深交，但是和仲尼有竞争关系的友谊。_好赌，胜局居多，所以周边的人通常都对他的赌局敬而远之。;［神算鬼谋］_对道的纠纷并无兴趣，王诩只想寻找一个机遇能够证明自己的才能不由名声而定。道德天尊肃清诸神的之战为他提供了机会。他舍弃了自己为神时的姓名，以”人”的身份站上战场击败被人崇拜的神。对于王诩而言，没有比这更能证明自己的价值了。较于研究和改造，王诩更注重在诡谲的战场谋略，以精密的战术布局击败对手。因为他认为研究改造之术于自己而言不过是平常之事，于和平时期便可求取。而战时非常，战场之上就应当以智谋深算证明自己。;［无名之灵］_并未试图隐藏自己的身份，如同庄周一样直言本名。只是姓名不如称号一般为人所知，结果被人当成刻意隐藏自己的真实身份。;;;;0
20109;仲尼;;;;;;太清殿;Craz;待定;让我看看你的资质。;嗯，还不错。;承受得住吗？;量力而行！;有朋自远方来，不亦说乎。;君子怀德，小人怀土。;角色名字：仲尼_所属势力：太清殿_称号：人理的天极_兴趣：麻将（仅限洗牌）_喜欢的事物：秩序，规则，等级（高）_讨厌的事物：庄周，混乱，无差别的善意，以弱胜强;原·道德天尊的弟子，作为普通人时曾在道德天尊门下学习_崇尚智慧，轻视体力，认为精通体力和技击所要投入的心力完全比不上习得智慧所需的万分之一_曾有人误以为仲尼是普通的书呆子，向他发起挑战，被轻易的以技击打败_自己组织过学派，拥有过众多的弟子，并被称为“圣人”_本人只是想为世间带去秩序，却被冠以“圣人”这种意义不明的称呼。对此非常恼火_与道德天尊的关系非常微妙，被道德天尊认为叛离了天道，走上了误导世人的“圣人”之路，本人却从不承认这点_明明不是求道者，但是认为所谓的各路神明对世人好不容易建立起来的秩序是种阻碍_因为目的相同，也为了解开与道德天尊的误会，加入了太清殿。_讨厌庄周，仲尼觉得庄周无差别的善意加剧了混乱。_和思兼神，托特等智慧之神维持着学术上的交流关系，主张就算持有者要被消灭，但智慧是无罪的，要尽可能的保存下来。_对奥丁因为信仰衰竭失去的智慧到底隐藏着怎样的秘密很感兴趣_重视上下级关系，礼数周到的人，与敌人也保持着一定的礼节性_讨厌的神灵比喜欢的多。_有时喜欢卖弄自己的学问。_觉得互联网如果无法成为统治的工具，那便是混乱的帮凶，应当予以消灭。;［天道与人理］_曾经与道德天尊站在相同的立场，引导世人前往理想的世界，不知何时开始，仲尼的理想和道德天尊发生了偏差，_仲尼认为人是无法从无秩序众生平等的世界中获得任何改善的，只是不断重复过去的错误。必须树立起让人向往并打从内心深处打算跟随的秩序。_仲尼的思想一经推出就获得了大反响，自己也被崇拜者称为圣人，但很快仲尼就发现自己的思想被不肖弟子和权力者所滥用，扭曲成了不同的东西。_为了重塑自己所追寻的秩序，仲尼向道德天尊低头，请求加入到肃清神灵的行列中。_无法亲口向世人诉说自己所知的一切，那便铲去代表人类蒙昧无知的根基，这样一来人就能重回正道了，至少在这点上，仲尼和道德天尊达成了共识。;［徘徊的毒鳞之蝶］_道德天尊的弟子庄周，一方面声称神界如果灭亡世人的心灵也会开始崩坏，阻止了神界之间的战斗。一方面却又为了好不容易保护的神界不被摧毁。煽动名叫梦界旅者的军团先下手为强去攻击其他神界_仲尼认为，庄周是这场战斗中最大的罪魁祸首，为了一己之私拼命拖延着必将到来的结局。在战斗结束之前，必须先摧毁庄周。;［秩序的基石］_无论是否有机会与庄周在战场上一决雌雄，不切断她与梦界旅者之间的联系将永远无法击败她，仲尼决定亲自前往梦界旅者的居所，以友军的身份与他们共同战斗_向他们传播秩序的理念，直到时机到来，一举彻底击溃庄周。;;;1
20110;嫦娥重装型;;;;;;太清殿;RitoruG;佐久間 比呂美;安全限制装置，解除。;程序错误……;锁定——打击;请求援护射击;无法识别，信号紊乱。;您的命令，让我回路温度上升……;角色名字：嫦娥_所属势力：太清殿_称号：守月卫士_兴趣： 无_喜欢的事物：后羿_讨厌的事物：长生不老;太清殿的月之守卫者_性格强硬顽固，知道后羿对升格成卫道者感到恐惧，自愿服下金丹，进行“长生不老”的改造，大部分身体变成了机械，失去了情感，但却并未失去记忆。_现在以“为太清殿夺取月面控制权”行动，记得与后羿的关系，但是缺少情感后，无法理解记忆中出现的情绪波动，同时与高天原的月读、奥林匹斯的阿尔忒弥斯等诸多月神为敌。_机械部分由太阴星君负责调整和监控，但是不想被深入了解，所以本能地排斥太阴星君。经常作为孙悟空发牢骚的听众，单方面的被信赖，但是听到的内容都会被太阴星君拷走。_和一群兔子住在一起，对兔子为何前往月面一事感到不解，也因为没有得到命令，所以放任兔子在月面自由活动。_有社交账号，但是每次回复都会被别人认为是机器人软件。;［不老不死之药］_道德天尊在见证了后羿击坠金乌后，决定将后羿招募进太清殿作为永恒的卫道者。为了能够完全支配后羿，她将微型改造机器人伪装成金丹，以表彰功绩为由送给了后羿。服下金丹后的人身体会被完全改造，成为“不老不死之身”，但同时为了完成卫道的使命，机器会将被改造者的感情完全抹除，变成忠于使命的机械。偶然得知金丹真相的嫦娥，为了阻止后羿被改造，舍身服下金丹，变成了“不老不死之身”的卫道者。;［超重装要塞广寒］_成为卫道者之后，嫦娥被派往信仰争夺最激烈的战区——月面，负责镇守太清殿设立在月面的基地广寒宫，同时也负责测试太清殿的新型兵器。因为兵器的出产速度实在太快，广寒要塞囤积了大量的兵器，导致整个要塞被迫不断扩建。因为要塞实在太大了，嫦娥一个人管理容易分身乏术，于是她将自身意识与广寒要塞连接，必要的时候，整个要塞都可以成为嫦娥的身体。;［后羿］_虽然尽力保护后羿，但后羿还是以另一种方式加入了太清殿。嫦娥在知道这件事后，程序思维与残存在意识深处，仅存的情感产生了冲突，在经过一系列的冲突ＢＵＧ修复后，嫦娥将所有后羿的敌人列为了自己的敌人，甚至这条准则的优先级高于嫦娥本身的命令“为太清殿夺取月面控制权”。;［兔子］_不知道从哪里跑到月面的兔子，道德天尊认为这些只是想从月球信仰中分得一点点分量的小动物，并不构成威胁，于是嫦娥并不会对其有任何敌对行动。嫦娥偶尔会向兔子投喂广寒出产的食物，而长期被饲养的兔子们似乎与嫦娥也建立了奇妙的关系，在遭到侵扰的第一时间就会跑向广寒宫避难，嫦娥甚至利用这一点可以率先发现敌人的踪迹。;;0
