StringKey,CN,JP,TEXT
guidetext32,出战需要携带【神迹】【弹幕】共２０张，目前的状态是无法出战的,,"C:\SDSvn\BulletBible\Assets\Script\Guide\GuideMain.cs(560):				event_guide.Add(new GuideEvent( delegate(){ ShowDialog(sp_Q[0],""出战需要携带【神迹】【弹幕】共２０张，目前的状态是无法出战的"");  },delegate(){"
guidetext33,你问为啥？当然是有规则的战斗对保护士兵的生命安全是有好处的……,,"C:\SDSvn\BulletBible\Assets\Script\Guide\GuideMain.cs(583):				event_guide.Add(new GuideEvent( delegate(){ ShowDialog(sp_Q[3],""你问为啥？当然是有规则的战斗对保护士兵的生命安全是有好处的……"");} ,delegate(){ event_guide[++idx_guide].Show(); } ));"
guidetext34,因为我带不了更多了，那肯定要能带多少带多少了！行了吧！,,"C:\SDSvn\BulletBible\Assets\Script\Guide\GuideMain.cs(584):				event_guide.Add(new GuideEvent( delegate(){ ShowDialog(sp_Q[1],""因为我带不了更多了，那肯定要能带多少带多少了！行了吧！"");} ,delegate(){ event_guide[++idx_guide].Show(); } ));"
guidetext35,虽然现在没什么好东西，继续战斗的话，仓库迟早会塞得满满的,现在把卡拖进卡组吧。",,"C:\SDSvn\BulletBible\Assets\Script\Guide\GuideMain.cs(585):				event_guide.Add(new GuideEvent( delegate(){ ShowDialog(sp_Q[0],""虽然现在没什么好东西,继续战斗的话，仓库迟早会塞得满满的,现在把卡拖进卡组吧。"");} ,delegate(){ event_guide[++idx_guide].Show(); } ));"
guidetext36,点击的时候可以查看卡牌的效果。,,"C:\SDSvn\BulletBible\Assets\Script\Guide\GuideMain.cs(586):				event_guide.Add(new GuideEvent( delegate(){ ShowDialog(sp_Q[0],""点击的时候可以查看卡牌的效果。"");  },delegate(){"
guidetext37,先完成这套卡组啦，把手头有的东西统统塞进去！！,,"C:\SDSvn\BulletBible\Assets\Script\Guide\GuideMain.cs(654):				event_guide.Add(new GuideEvent( delegate(){ ShowDialog(sp_Q[1],""先完成这套卡组啦，把手头有的东西统统塞进去！！"");  },delegate(){"
guidetext38,这样一来战斗的准备就完成了！,,"C:\SDSvn\BulletBible\Assets\Script\Guide\GuideMain.cs(692):				event_guide.Add(new GuideEvent( delegate(){ ShowDialog(sp_Q[2],""这样一来战斗的准备就完成了！"");  },delegate(){"
guidetext39,呼～累死我了。终于说完了。我已经没有什么可以教你的了。,,"C:\SDSvn\BulletBible\Assets\Script\Guide\GuideMain.cs(730):				event_guide.Add(new GuideEvent( delegate(){ ShowDialog(sp_Q[5],""呼～累死我了。终于说完了。我已经没有什么可以教你的了。"");} ,delegate(){ event_guide[++idx_guide].Show(); } ));"
guidetext40,赶紧去战斗吧，为了神界的繁荣。,,"C:\SDSvn\BulletBible\Assets\Script\Guide\GuideMain.cs(731):				event_guide.Add(new GuideEvent( delegate(){ ShowDialog(sp_Q[5],""赶紧去战斗吧，为了神界的繁荣。"");  },delegate(){"
guidetext41,啥？明明还有很多没教？真是麻烦呐……,,"C:\SDSvn\BulletBible\Assets\Script\Guide\GuideMain.cs(767):				event_guide.Add(new GuideEvent( delegate(){ ShowDialog(sp_Q[3],""啥？明明还有很多没教？真是麻烦呐……"");} ,delegate(){ event_guide[++idx_guide].Show(); } ));"
guidetext42,可以<color=#ff0000ff>通过【神界争乱】与其他梦境旅者进行常规对战</color>，可以逐步提升自己的实力~,,"C:\SDSvn\BulletBible\Assets\Script\Guide\GuideMain.cs(768):				event_guide.Add(new GuideEvent( delegate(){ ShowDialog(sp_Q[0],""可以<color=#ff0000ff>通过【神界争乱】与其他梦境旅者进行常规对战</color>，可以逐步提升自己的实力~"");"
guidetext43,在<color=#ff0000ff>限定时期内，可以参与【天梯匹配】获得排名~</color>,,"C:\SDSvn\BulletBible\Assets\Script\Guide\GuideMain.cs(790):				event_guide.Add(new GuideEvent( delegate(){ ShowDialog(sp_Q[0],""在<color=#ff0000ff>限定时期内，可以参与【天梯匹配】获得排名~</color>"");"
guidetext44,<color=#ff0000ff>如果对自己的技术和运气有自信的话，可以尝试一下【试炼】模式~ </color>,,"C:\SDSvn\BulletBible\Assets\Script\Guide\GuideMain.cs(811):				event_guide.Add(new GuideEvent( delegate(){ ShowDialog(sp_Q[0],""<color=#ff0000ff>如果需要测试卡组的话，可以尝试【模拟战】~</color>"");"
guidetext45,作为新手的话还是推荐先进行<color=#ff0000ff>【剧情模式】获得更多的灵力</color>啦~,,"C:\SDSvn\BulletBible\Assets\Script\Guide\GuideMain.cs(832):				event_guide.Add(new GuideEvent( delegate(){ ShowDialog(sp_Q[2],""作为新手的话还是推荐先进行<color=#ff0000ff>【剧情模式】获得更多的灵力</color>啦~"");"
guidetext46,<color=#ff0000ff>通过战斗中获得足够多的【灵力】奖励后可以去【商店】获得新的【附属神】与【弹幕】、【神迹】以及其他奖励。</color>,,"C:\SDSvn\BulletBible\Assets\Script\Guide\GuideMain.cs(854):				event_guide.Add(new GuideEvent( delegate(){ ShowDialog(sp_Q[0],""<color=#ff0000ff>通过战斗中获得足够多的【灵力】奖励后可以去【商店】获得新的【附属神】与【弹幕】、【神迹】以及其他奖励。</color>"");"
guidetext47,这次是真的指导结束了，接下去就请自由的在南华庄内行动吧。,,"C:\SDSvn\BulletBible\Assets\Script\Guide\GuideMain.cs(872):				event_guide.Add(new GuideEvent( delegate(){ ShowDialog(sp_Q[5],""这次是真的指导结束了，接下去就请自由的在南华庄内行动吧。"");"
guidetext48,用户名超出长度了～,,"C:\SDSvn\BulletBible\Assets\Script\Guide\GuideName.cs(103):				StGame.GetInstance().ShowNotice( StGame.NoticeType.ERROR,""用户名超出长度了～"");"
guidetext49,请输入玩家名称,,"C:\SDSvn\BulletBible\Assets\Script\Guide\GuideName.cs(108):				StGame.GetInstance().ShowNotice( StGame.NoticeType.ERROR,""请输入玩家名称"");"
guidetext50,请不要输入特殊字符,,"C:\SDSvn\BulletBible\Assets\Script\Guide\GuideName.cs(113):				StGame.GetInstance().ShowNotice( StGame.NoticeType.ERROR,""请不要输入特殊字符"");"
guidetext51,命名不能为纯数字～,,"C:\SDSvn\BulletBible\Assets\Script\Guide\GuideName.cs(118):				StGame.GetInstance().ShowNotice( StGame.NoticeType.ERROR,""命名不能为纯数字～"");"
guidetext52,命名不和谐～,,"C:\SDSvn\BulletBible\Assets\Script\Guide\GuideName.cs(123):				StGame.GetInstance().ShowNotice( StGame.NoticeType.ERROR,""命名不和谐～"");"
guidetext53,请多指教!,,"C:\SDSvn\BulletBible\Assets\Script\Guide\GuideName.cs(138):				StGame.GetInstance().GetUser().introduction=""请多指教!"";"
guidetext54,请多指教!,,"C:\SDSvn\BulletBible\Assets\Script\Guide\GuideName.cs(145):				tmp.args.user.introduction =""请多指教!"";"
guidetext55,虽说是把敌人赶走，但没头没脑的也无从下手吧。,,"C:\SDSvn\BulletBible\Assets\Script\Guide\GuidePVP.cs(236):				event_guide.Add(new GuideEvent( delegate(){ ShowDialog(sp_Q[2],""虽说是把敌人赶走，但没头没脑的也无从下手吧。"");} ,delegate(){ event_guide[++idx_guide].Show(); } ));"
guidetext56,在正式开战之前，先来熟悉一下己方的战力。,,"C:\SDSvn\BulletBible\Assets\Script\Guide\GuidePVP.cs(237):				event_guide.Add(new GuideEvent( delegate(){ ShowDialog(sp_Q[2],""在正式开战之前，先来熟悉一下己方的战力。"");} ,delegate(){ event_guide[++idx_guide].Show(); } ));"
guidetext57,点击选中那个站着发呆的家伙吧。,,"C:\SDSvn\BulletBible\Assets\Script\Guide\GuidePVP.cs(238):				event_guide.Add(new GuideEvent( delegate(){ ShowDialog(sp_Q[2],""点击选中那个站着发呆的家伙吧。"");  },delegate(){"
guidetext58,这个就是我方的大将了，也就是我！嗯哼！,,"C:\SDSvn\BulletBible\Assets\Script\Guide\GuidePVP.cs(269):				event_guide.Add(new GuideEvent( delegate(){ ShowDialog(sp_Q[2],""这个就是我方的大将了，也就是我！嗯哼！"");  },delegate(){ event_guide[++idx_guide].Show(); }));"
guidetext59,只要大将被打败了，队伍就会溃散了！所以一定要保护好我啊！,,"C:\SDSvn\BulletBible\Assets\Script\Guide\GuidePVP.cs(270):				event_guide.Add(new GuideEvent( delegate(){ ShowDialog(sp_Q[2],""只要大将被打败了，队伍就会溃散了！所以一定要保护好我啊！"");  },delegate(){event_guide[++idx_guide].Show(); }));"
guidetext60,话虽如此，一味的逃避也是赢不了的，接下去确认一下敌阵的情况。,,"C:\SDSvn\BulletBible\Assets\Script\Guide\GuidePVP.cs(271):				event_guide.Add(new GuideEvent( delegate(){ ShowDialog(sp_Q[0],""话虽如此，一味的逃避也是赢不了的，接下去确认一下敌阵的情况。"");  },delegate(){event_guide[++idx_guide].Show(); }));"
guidetext61,在屏幕上划动，就能前往对方的场地。,,"C:\SDSvn\BulletBible\Assets\Script\Guide\GuidePVP.cs(272):				event_guide.Add(new GuideEvent( delegate(){ ShowDialog(sp_Q[0],""在屏幕上划动，就能前往对方的场地。"");  },delegate(){"
guidetext62,看到敌人的场地了，找到对方的主神吧。,,"C:\SDSvn\BulletBible\Assets\Script\Guide\GuidePVP.cs(300):				event_guide.Add(new GuideEvent( delegate(){ ShowDialog(sp_Q[0],""看到敌人的场地了，找到对方的主神吧。""  );  },delegate(){"
guidetext63,打倒这家伙敌人也会溃散，回到我方的场地准备攻击吧！,,"C:\SDSvn\BulletBible\Assets\Script\Guide\GuidePVP.cs(322):				event_guide.Add(new GuideEvent( delegate(){ ShowDialog(sp_Q[3],""打倒这家伙敌人也会溃散，回到我方的场地准备攻击吧！""  );  },delegate(){"
guidetext64,好的！完成的非常好！接下来注目这里！,,"C:\SDSvn\BulletBible\Assets\Script\Guide\GuidePVP.cs(433):				event_guide.Add(new GuideEvent( delegate(){ ShowDialog(sp_Q[0],""好的！完成的非常好！接下来注目这里！"");  },delegate(){"
guidetext65,这里显示的是剩余的行动点，<color=#ff0000ff>攻击命令需要3点行动点。</color>,,"C:\SDSvn\BulletBible\Assets\Script\Guide\GuidePVP.cs(454):				event_guide.Add(new GuideEvent( delegate(){ ShowDialog(sp_Q[2],""这里显示的是剩余的行动点，<color=#ff0000ff>攻击命令需要3点行动点。</color>""  );  },delegate(){ event_guide[++idx_guide].Show(); }));"
guidetext66,只要能量充足，同一个成员多次攻击也没问题。,,"C:\SDSvn\BulletBible\Assets\Script\Guide\GuidePVP.cs(455):				event_guide.Add(new GuideEvent( delegate(){ ShowDialog(sp_Q[2],""只要能量充足，同一个成员多次攻击也没问题。""  );  },delegate(){event_guide[++idx_guide].Show(); }));"
guidetext67,我觉得现在正是追击的好机会，全力攻击！,,"C:\SDSvn\BulletBible\Assets\Script\Guide\GuidePVP.cs(456):				event_guide.Add(new GuideEvent( delegate(){ ShowDialog(sp_Q[2],""我觉得现在正是追击的好机会，全力攻击！""  );  },delegate(){"
guidetext68,真不愧是我，这样的战果不能更完美了，先休息一下准备下一轮吧。,,"C:\SDSvn\BulletBible\Assets\Script\Guide\GuidePVP.cs(487):				event_guide.Add(new GuideEvent( delegate(){ ShowDialog(sp_Q[3],""真不愧是我，这样的战果不能更完美了，先休息一下准备下一轮吧。""  );  },delegate(){"
guidetext69,等等等等等！这不是超不妙的嘛！一下子吃了一发大伤害啊！,,"C:\SDSvn\BulletBible\Assets\Script\Guide\GuidePVP.cs(551):				event_guide.Add(new GuideEvent( delegate(){ ShowDialog(sp_Q[1],""等等等等等！这不是超不妙的嘛！一下子吃了一发大伤害啊！""  );  },delegate(){"
guidetext70,而且敌人还躲进【迷雾】里了……从这边没法用肉眼确认敌人在哪，真是糟糕透了……,,"C:\SDSvn\BulletBible\Assets\Script\Guide\GuidePVP.cs(558):				event_guide.Add(new GuideEvent( delegate(){ ShowDialog(sp_Q[9],""而且敌人还躲进【迷雾】里了……从这边没法用肉眼确认敌人在哪，真是糟糕透了……""  );  },delegate(){ event_guide[++idx_guide].Show(); }));"
guidetext71,不不不过没关系，大部分情况下<color=#ff0000ff>【迷雾】只要受到攻击就就就会消失了。</color>,,"C:\SDSvn\BulletBible\Assets\Script\Guide\GuidePVP.cs(559):				event_guide.Add(new GuideEvent( delegate(){ ShowDialog(sp_Q[1],""不不不过没关系，大部分情况下<color=#ff0000ff>【迷雾】只要受到攻击就就就会消失了。</color>""  );  },delegate(){ event_guide[++idx_guide].Show(); }));"
guidetext72,消散的迷雾<color=#ff0000ff>需要２个回合才能重新聚集</color>，抓紧时机攻击一、一定没问题的。,,"C:\SDSvn\BulletBible\Assets\Script\Guide\GuidePVP.cs(560):				event_guide.Add(new GuideEvent( delegate(){ ShowDialog(sp_Q[0],""消散的迷雾<color=#ff0000ff>需要２个回合才能重新聚集</color>，抓紧时机攻击一、一定没问题的。""  );  },delegate(){"
guidetext73,然后是这里！,,"C:\SDSvn\BulletBible\Assets\Script\Guide\GuidePVP.cs(567):				event_guide.Add(new GuideEvent( delegate(){ ShowDialog(sp_Q[0],""然后是这里！""  );  },delegate(){"
guidetext74,能【改变攻击形式和伤害】的【弹幕】以及能【直接造成影响】的【神迹】。,,"C:\SDSvn\BulletBible\Assets\Script\Guide\GuidePVP.cs(604):				event_guide.Add(new GuideEvent( delegate(){ ShowDialog(sp_Q[3],""能【改变攻击形式和伤害】的【弹幕】以及能【直接造成影响】的【神迹】。""  );  },delegate(){ event_guide[++idx_guide].Show(); }));"
guidetext75,<color=#ff0000ff>像选中队员一样点击可以查看它们的效果，将它们拖进场地就可以使用了。</color>,,"C:\SDSvn\BulletBible\Assets\Script\Guide\GuidePVP.cs(605):				event_guide.Add(new GuideEvent( delegate(){ ShowDialog(sp_Q[0],""<color=#ff0000ff>像选中队员一样点击可以查看它们的效果，将它们拖进场地就可以使用了。</color>""  );  },delegate(){ event_guide[++idx_guide].Show(); }));"
guidetext76,这时候应该先用神迹卡！,,"C:\SDSvn\BulletBible\Assets\Script\Guide\GuidePVP.cs(606):				event_guide.Add(new GuideEvent( delegate(){ ShowDialog(sp_Q[0],""这时候应该先用神迹卡！""  );  },delegate(){"
guidetext77,这时候应该先用这一张来恢复一下生命值！,,"C:\SDSvn\BulletBible\Assets\Script\Guide\GuidePVP.cs(630):				event_guide.Add(new GuideEvent( delegate(){ ShowDialog(sp_Q[2],""这时候应该先用这一张来恢复一下生命值！""  );  },delegate(){"
guidetext78,使用完神迹卡，这样就安全啦~,,"C:\SDSvn\BulletBible\Assets\Script\Guide\GuidePVP.cs(725):				event_guide.Add(new GuideEvent( delegate(){ ShowDialog(sp_Q[9],""使用完神迹卡，这样就安全啦~""  );  },delegate(){ event_guide[++idx_guide].Show(); }));"
guidetext79,敌人刚才也是使用了【弹幕】改变攻击形式才能造成那样巨大的伤害。,,"C:\SDSvn\BulletBible\Assets\Script\Guide\GuidePVP.cs(726):				event_guide.Add(new GuideEvent( delegate(){ ShowDialog(sp_Q[1],""敌人刚才也是使用了【弹幕】改变攻击形式才能造成那样巨大的伤害。""  );  },delegate(){ event_guide[++idx_guide].Show(); }));"
guidetext80,只、只、只要活用这些卡一定能能抓住胜机的。,,"C:\SDSvn\BulletBible\Assets\Script\Guide\GuidePVP.cs(727):				event_guide.Add(new GuideEvent( delegate(){ ShowDialog(sp_Q[2],""只、只、只要活用这些卡一定能能抓住胜机的。""  );  },delegate(){"
guidetext81,是时候反击了！,,"C:\SDSvn\BulletBible\Assets\Script\Guide\GuidePVP.cs(847):				event_guide.Add(new GuideEvent( delegate(){ ShowDialog(sp_Q[10],""是时候反击了！""  );  },delegate(){"
guidetext82,这样行动点就用完啦,,"C:\SDSvn\BulletBible\Assets\Script\Guide\GuidePVP.cs(928):				event_guide.Add(new GuideEvent( delegate(){ ShowDialog(sp_Q[3],""这样行动点就用完啦""  );  },delegate(){"
guidetext83,这样我就没有什么可以传授给你的了，接下来就交给你，我赶紧去避难……,,"C:\SDSvn\BulletBible\Assets\Script\Guide\GuidePVP.cs(942):				event_guide.Add(new GuideEvent( delegate(){ ShowDialog(sp_Q[3],""这样我就没有什么可以传授给你的了，接下来就交给你，我赶紧去避难……""  );  },delegate(){"
guidetext84,啊！不！我去思考战胜敌人的方法！这里你先撑住，打倒敌人也没问题哦！,,"C:\SDSvn\BulletBible\Assets\Script\Guide\GuidePVP.cs(982):				event_guide.Add(new GuideEvent( delegate(){ ShowDialog(sp_Q[2],""啊！不！我去思考战胜敌人的方法！这里你先撑住，打倒敌人也没问题哦！""  );  },delegate(){ event_guide[++idx_guide].Show(); }));"
guidetext85,就这样！拜啦！,,"C:\SDSvn\BulletBible\Assets\Script\Guide\GuidePVP.cs(983):				event_guide.Add(new GuideEvent( delegate(){ ShowDialog(sp_Q[3],""就这样！拜啦！""  );  },delegate(){"
guidetext86,上啊！！！,,"C:\SDSvn\BulletBible\Assets\Script\Guide\GuidePVP.cs(1087):				event_guide.Add(new GuideEvent( delegate(){ ShowDialog(sp_Q[7],""上啊！！！"");} ,delegate(){ event_guide[++idx_guide].Show(); } ));"
guidetext87,等等等等等等，王你这样是不行的吧，请先稍安勿躁,,"C:\SDSvn\BulletBible\Assets\Script\Guide\GuidePVP.cs(1088):				event_guide.Add(new GuideEvent( delegate(){ ShowDialog(sp_Q[5],""等等等等等等，王你这样是不行的吧，请先稍安勿躁"");  },delegate(){"
guidetext88,了解敌我的优势，冷静的制定策略才是制胜之道！,,"C:\SDSvn\BulletBible\Assets\Script\Guide\GuidePVP.cs(1133):				event_guide.Add(new GuideEvent( delegate(){ ShowDialog(sp_Q[5],""了解敌我的优势，冷静的制定策略才是制胜之道！"");} ,delegate(){ event_guide[++idx_guide].Show(); } ));"
guidetext89,上啊！！！,,"C:\SDSvn\BulletBible\Assets\Script\Guide\GuidePVP.cs(1134):				event_guide.Add(new GuideEvent( delegate(){ ShowDialog(sp_Q[4],""上啊！！！"");} ,delegate(){ event_guide[++idx_guide].Show(); } ));"
guidetext90,算了……,,"C:\SDSvn\BulletBible\Assets\Script\Guide\GuidePVP.cs(1135):				event_guide.Add(new GuideEvent( delegate(){ ShowDialog(sp_Q[5],""……算了……"");  },delegate(){"
guidetext91,躲起来也是没有用的！咆哮吧！冈格尼尔！,,"C:\SDSvn\BulletBible\Assets\Script\Guide\GuidePVP.cs(1185):				event_guide.Add(new GuideEvent( delegate(){ ShowDialog(sp_Q[8],""躲起来也是没有用的！咆哮吧！冈格尼尔！"");  },delegate(){"
guidetext92,唔啊啊啊！！！,,"C:\SDSvn\BulletBible\Assets\Script\Guide\GuidePVP.cs(1257):				event_guide.Add(new GuideEvent( delegate(){ ShowDialog(sp_Q[6],""唔啊啊啊！！！"");} ,delegate(){ event_guide[++idx_guide].Show(); } ));"
guidetext93,这是何等强大的威力……,,"C:\SDSvn\BulletBible\Assets\Script\Guide\GuidePVP.cs(1258):				event_guide.Add(new GuideEvent( delegate(){ ShowDialog(sp_Q[5],""这是何等强大的威力……"");  },delegate(){"
inputlefttime,还可以输入{0}字,,"C:\SDSvn\BulletBible\Assets\Script\Information\InformationSign.cs(25):			tx_left.text=""还可以输入""+(40-tx_sign.text.Length)+""字"";"
ilegal,这不和谐,,"C:\SDSvn\BulletBible\Assets\Script\Information\InformationSign.cs(39):				StGame.GetInstance().ShowNotice(StGame.NoticeType.ERROR,""这不和谐"");"
sucessbuy,成功购买,,"C:\SDSvn\BulletBible\Assets\Script\Market\DrawCard\DrawCardController.cs(123):					StGame.GetInstance().ShowNotice(StGame.NoticeType.NOTICE,""成功购买""+StResource.GetInstance().GetDataMarket(response.args.shoppingInfo.shopId.ToString()).GetData(DataMarket.DataHeader.NAME));"
buyiimit,以达购买上限，不可再购买。,,"C:\SDSvn\BulletBible\Assets\Script\Market\DrawCard\DrawCardController.cs(321):						StGame.GetInstance().ShowNotice(StGame.NoticeType.ERROR,""以达购买上限，不可再购买。"");"
nosaledrawcardticket,该种召唤券未出售,,"C:\SDSvn\BulletBible\Assets\Script\Market\DrawCard\DrawCardController.cs(331):			StGame.GetInstance().ShowNotice(StGame.NoticeType.ERROR,""该种召唤券未出售"");"
print,画师：,,"C:\SDSvn\BulletBible\Assets\Script\Market\DrawCard\DrawCardInfor.cs(101):				tx_painter.text=""画师：""+StResource.GetInstance().GetDataCardInfor(card.configId.ToString()).GetData(DataCardInfor.DataHeader.AUTHOR);"
tools,所持道具 ,,"C:\SDSvn\BulletBible\Assets\Script\Market\DrawCard\DrawCardPlate.cs(111):			tx_num.text=""所持道具 ""+sc_controller.tx_num.text;"
holder,持有者：,,"C:\SDSvn\BulletBible\Assets\Script\Market\DrawCard\DrawCardSharer.cs(222):		tx_user.text=""持有者：""+StGame.GetInstance().GetUser().name;"
sucessbuy,成功购买,,"C:\SDSvn\BulletBible\Assets\Script\Market\DrawCard\DrawItemController.cs(128):				StGame.GetInstance().ShowNotice(StGame.NoticeType.NOTICE,""成功购买""+StResource.GetInstance().GetDataMarket(response.args.shoppingInfo.shopId.ToString()).GetData(DataMarket.DataHeader.NAME));"
nosaledrawcardticket,该种召唤券未出售,,"C:\SDSvn\BulletBible\Assets\Script\Market\DrawCard\DrawItemController.cs(298):			StGame.GetInstance().ShowNotice(StGame.NoticeType.ERROR,""该种召唤券未出售"");"
justbuy,买买买,,"C:\SDSvn\BulletBible\Assets\Script\Market\DrawCard\DrawItemMarket.cs(63):			tx_notice.text=""买买买"";"
leftbuytime,剩余购买次数：{0}次,,"C:\SDSvn\BulletBible\Assets\Script\Market\ItemPlate.cs(59):				tx_limit.text = ""剩余购买次数："" +( shopInfo.userLeftBuyTimes).ToString()+""次"";"
lackglod,没有足够的梦晶进行购买,,"C:\SDSvn\BulletBible\Assets\Script\Market\ItemPlate.cs(201):					tx_infor.text=""没有足够的梦晶进行购买"";"
lacksliver,没有足够的灵力进行购买,,"C:\SDSvn\BulletBible\Assets\Script\Market\ItemPlate.cs(228):					tx_infor.text=""没有足够的灵力进行购买"";"
giftbox,礼包：,,"C:\SDSvn\BulletBible\Assets\Script\Market\MarketCtrl.cs(244):						goodsbag_.name = ""礼包："" + StResource.GetInstance().GetDataItem(StResource.GetInstance().GetDataMarket(myUserShopInfo.shopId.ToString()).GetData(DataMarket.DataHeader.CONTENT)).GetData(DataItem.DataHeader.NAME)  ;"
sucessbuy,成功购买,,"C:\SDSvn\BulletBible\Assets\Script\Market\MarketCtrl.cs(303):				StGame.GetInstance().ShowNotice(StGame.NoticeType.NOTICE,""成功购买""+StResource.GetInstance().GetDataMarket(response.args.shoppingInfo.shopId.ToString()).GetData(DataMarket.DataHeader.NAME));"
missioncompelete2boxget,完成任务：{0}，请前往收纳盒领取奖励。,,"C:\SDSvn\BulletBible\Assets\Script\Misstion\MisstionCtroller.cs(129):				StGame.GetInstance().ShowNotice(StGame.NoticeType.NOTICE,""完成任务：“""+StResource.GetInstance().GetDataTask(_message.args.task.cfgId.ToString()).GetData(DataTask.DataHeader.DESC)+""”，请前往收纳盒领取奖励。"");"
daylymissionover7,每日任务数量大于7,,"C:\SDSvn\BulletBible\Assets\Script\Misstion\MisstionCtroller.cs(248):					StNetworkController.GetInstance().SendLog(1,""每日任务数量大于7"");"
waitopponentconfirm,等待对方确认中,,"C:\SDSvn\BulletBible\Assets\Script\PreBattle\PreBattle.cs(337):			if(tx_timer.text!=""等待对方确认中"")"
waitopponentconfirm,等待对方确认中,,"C:\SDSvn\BulletBible\Assets\Script\PreBattle\PreBattle.cs(353):			if(tx_timer.text!=""等待对方确认中"")"
waitopponentconfirm,等待对方确认中,,"C:\SDSvn\BulletBible\Assets\Script\PreBattle\PreBattle.cs(365):			if(tx_timer.text!=""等待对方确认中"")"
waitopponentconfirm,等待对方确认中,,"C:\SDSvn\BulletBible\Assets\Script\PreBattle\PreBattle.cs(385):			if(tx_timer.text!=""等待对方确认中"")"
waitopponentconfirm,等待对方确认中,,"C:\SDSvn\BulletBible\Assets\Script\PreBattle\PreBattle.cs(404):			tx_timer.text=""等待对方确认中"";"
ticktime,倒计时： ,,"C:\SDSvn\BulletBible\Assets\Script\PreBattle\PreBattle.cs(465):					tx_timer.text=""倒计时： ""+((int)(timer)).ToString();"
fightoverback2main,战斗已结束，请返回主界面,,"C:\SDSvn\BulletBible\Assets\Script\PVP\PVPController.cs(302):						StGame.GetInstance().ShowNotice( StGame.NoticeType.MAINMENU,""战斗已结束，请返回主界面"");"
drawcahrdountinwar,你的信仰已枯竭喽～,,"C:\SDSvn\BulletBible\Assets\Script\PVP\PVPController.cs(2503):					sc_insert.SetNotice(""你的信仰已枯竭喽～"");"
oppdrawcahrdountinwar,敌方的信仰已枯竭喽～,,"C:\SDSvn\BulletBible\Assets\Script\PVP\PVPController.cs(2551):					sc_insert.SetNotice(""敌方的信仰已枯竭喽～"");"
waitoppaction,不是你的回合，请等待对方行动～,,"C:\SDSvn\BulletBible\Assets\Script\PVP\PVPController.cs(4083):				sc_insert.SetNotice(""不是你的回合，请等待对方行动～"");"
chooseatkcharacter,请选择发动攻击的神明～,,"C:\SDSvn\BulletBible\Assets\Script\PVP\PVPController.cs(4136):					sc_insert.SetNotice(""请选择发动攻击的神明～"");"
costnoenought,行动点不够了～,,"C:\SDSvn\BulletBible\Assets\Script\PVP\PVPController.cs(4151):					sc_insert.SetNotice(""行动点不够了～"");"
characterbanatk,该角色被禁止攻击喔～,,"C:\SDSvn\BulletBible\Assets\Script\PVP\PVPController.cs(4165):							sc_insert.SetNotice(""该角色被禁止攻击喔～"");"
characterreload,该角色正在装填弹幕～,,"C:\SDSvn\BulletBible\Assets\Script\PVP\PVPController.cs(4173):						sc_insert.SetNotice(""该角色正在装填弹幕～"");"
charactercantatk,该角色不可攻击喔～,,"C:\SDSvn\BulletBible\Assets\Script\PVP\PVPController.cs(4180):						sc_insert.SetNotice(""该角色不可攻击喔～"");"
characterdied,该角色已经死亡～,,"C:\SDSvn\BulletBible\Assets\Script\PVP\PVPController.cs(4191):					sc_insert.SetNotice(""该角色已经死亡～"");"
notuturn,不是你的回合～,,"C:\SDSvn\BulletBible\Assets\Script\PVP\PVPController.cs(4207):				sc_insert.SetNotice(""不是你的回合～"");"
choosemovecharacter,请选择移动的神明～,,"C:\SDSvn\BulletBible\Assets\Script\PVP\PVPController.cs(4212):				sc_insert.SetNotice(""请选择移动的神明～"");"
canopt,不可操控～,,"C:\SDSvn\BulletBible\Assets\Script\PVP\PVPController.cs(4217):				sc_insert.SetNotice(""不可操控～"");"
waitoppaction,不是你的回合，请等待对方行动～,,"C:\SDSvn\BulletBible\Assets\Script\PVP\PVPController.cs(4238):				sc_insert.SetNotice(""不是你的回合，请等待对方行动～"");"
waitoppaction,不是你的回合，请等待对方行动～,,"C:\SDSvn\BulletBible\Assets\Script\PVP\PVPController.cs(4277):				sc_insert.SetNotice(""不是你的回合，请等待对方行动～"");"
costnoenought,行动点不够了～,,"C:\SDSvn\BulletBible\Assets\Script\PVP\PVPController.cs(4290):				sc_insert.SetNotice(""行动点不够了～"");"
waitoppaction,不是你的回合，请等待对方行动～,,"C:\SDSvn\BulletBible\Assets\Script\PVP\PVPController.cs(4325):				sc_insert.SetNotice(""不是你的回合，请等待对方行动～"");"
costnoenought,行动点不够了～,,"C:\SDSvn\BulletBible\Assets\Script\PVP\PVPController.cs(4481):					sc_insert.SetNotice(""行动点不够了～"");"
waitoppaction,不是你的回合，请等待对方行动～,,"C:\SDSvn\BulletBible\Assets\Script\PVP\PVPController.cs(4644):				sc_insert.SetNotice(""不是你的回合，请等待对方行动～"");"
waitoppaction,不是你的回合，请等待对方行动～,,"C:\SDSvn\BulletBible\Assets\Script\PVP\PVPController.cs(4778):				sc_insert.SetNotice(""不是你的回合，请等待对方行动～"");"
costnoenought,行动点不够了～,,"C:\SDSvn\BulletBible\Assets\Script\PVP\PVPController.cs(4805):				sc_insert.SetNotice(""行动点不够了～"");"
